
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won

1	0	0.000000	464.197300	464.192000	0.000000	0.000000
2	1	0.311727	4471.858200	4471.853000	4787.280100	4787.276800	3	2	1.338163	5789.048300	5789.041000	7131.169600	7131.165400	CCNP001368	1
3	2	1.138462	9637.764900	9637.759500	10780.005600	10780.002400	3	1	1.743970	11781.685900	11781.679200	13531.411400	13531.407200	CCNP001368	0
4	2	1.274314	16036.267800	16036.262500	17315.495900	17315.492600	3	2	1.082258	18317.048700	18317.042300	19403.120400	19403.116800	CCNP001368	0
5	1	0.663114	21911.328300	21911.321900	22587.618200	22587.614900	3	2	1.327350	23592.795000	23592.788300	24923.428300	24923.425000	CCNP001368	0
6	1	0.553329	27431.479700	27431.474600	27995.314500	27995.311000	2	1	0.171813	28996.737900	28996.732500	29171.836100	29171.832900	CCNP001368	1
7	1	1.728096	31676.835800	31676.830400	33419.404000	33419.401000	2	1	1.771478	34420.414300	34420.409600	36195.333200	36195.330100	CCNP001368	0
8	2	0.455594	38698.838300	38698.832700	39163.540200	39163.537100	2	2	1.899656	40164.625800	40164.621300	42067.656100	42067.652800	CCNP001368	0
9	2	0.748039	44571.060000	44571.054100	45323.321200	45323.318000	3	1	2.667095	46324.887000	46324.880700	48995.383600	48995.380500	CCNP001368	0
10	1	0.743483	51499.210900	51499.206000	52251.586000	52251.582700	2	1	1.099230	53252.628900	53252.624000	54355.320000	54355.316900	CCNP001368	0
11	2	0.623891	56859.033500	56859.028400	57499.210300	57499.206500	3	2	0.570812	58500.367500	58500.360500	59075.352100	59075.347900	CCNP001368	1
12	2	0.619776	61579.139000	61579.131600	62211.209700	62211.206700	3	2	0.227767	63212.173500	63212.168700	63443.368100	63443.365000	CCNP001368	0
13	1	2.661527	65946.629800	65946.623700	68619.445900	68619.442700	2	1	0.931464	69620.784000	69620.778700	70555.748500	70555.745300	CCNP001368	1
14	0	0.000000	73059.463200	73059.457300	0.000000	0.000000
15	2	0.392266	77063.029000	77063.023800	77466.987600	77466.983900	2	1	1.275832	78468.060000	78468.054300	79747.418200	79747.415100	CCNP001368	0
16	1	0.872926	82251.012800	82251.006700	83131.192900	83131.189400	2	2	1.275626	84132.185800	84132.180900	85411.684500	85411.680700	CCNP001368	1
17	1	0.391068	87915.135800	87915.129700	88315.522500	88315.519200	3	1	0.091863	89316.475700	89316.471300	89411.746300	89411.742800	CCNP001368	1
18	1	0.822499	91915.413300	91915.408000	92747.287900	92747.284500	2	2	0.947590	93748.270200	93748.265700	94699.280000	94699.276600	CCNP001368	0
19	2	0.531695	97202.607900	97202.603200	97739.552200	97739.548900	3	2	0.962277	98740.786300	98740.776100	99707.400000	99707.396200	CCNP001368	0
20	1	0.483019	102210.957000	102210.950100	102707.744000	102707.740600	2	2	0.955571	103708.701700	103708.697400	104667.734700	104667.731400	CCNP001368	1
21	1	0.419023	107171.260600	107171.255400	107595.514600	107595.510400	2	2	0.531751	108596.601300	108596.596200	109131.799100	109131.795700	CCNP001368	1
