
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	won

1	1	0.516185	317.455700	317.446100	835.959900	835.956300	2	1	0.981730	1842.060700	1842.053700	2827.332600	2827.329300	CCNP001674	1
2	1	0.473985	5334.033200	5334.027500	5819.453600	5819.450500	2	1	0.579429	6821.003800	6820.985200	7403.875700	7403.872400	CCNP001674	1
3	1	0.499462	9908.762900	9908.757300	10411.949700	10411.945100	2	1	0.434937	11413.505900	11413.500000	11851.723400	11851.720100	CCNP001674	1
4	1	0.505231	14358.087000	14358.081500	14867.461000	14867.457500	2	1	0.906640	15868.889000	15868.883100	16779.284700	16779.280400	CCNP001674	1
5	1	0.555734	19285.652600	19285.646800	19851.688900	19851.685400	2	1	0.552744	20855.298100	20855.292400	21411.611200	21411.606800	CCNP001674	1
6	1	0.378528	23919.571700	23919.565200	24307.568000	24307.564500	2	1	2.003181	25309.133400	25309.126700	27316.035100	27316.031800	CCNP001674	1
7	1	0.638830	29819.892500	29819.885700	30467.905400	30467.902100	2	1	2.363056	31468.908400	31468.902600	33835.482900	33835.479500	CCNP001674	1
8	1	0.617855	36339.178300	36339.173000	36963.469400	36963.466200	2	1	0.035918	37964.470500	37964.465600	38003.909600	38003.906300	CCNP001674	0
9	1	1.106773	40507.658400	40507.638300	41619.288900	41619.285200	3	2	0.242855	42620.753700	42620.747300	42867.589400	42867.585100	CCNP001674	1
10	1	0.496699	45371.300300	45371.294400	45875.966800	45875.963500	2	2	0.075096	46877.038000	46877.033000	46955.798800	46955.795400	CCNP001674	1
11	1	0.634534	49459.744500	49459.739100	50099.545200	50099.542200	2	2	0.675887	51100.643900	51100.638700	51780.111000	51780.107800	CCNP001674	0
12	1	0.516106	54283.766500	54283.760200	54811.978900	54811.974700	3	1	0.523433	55813.030500	55813.024800	56340.172600	56340.169300	CCNP001674	0
13	1	0.491515	58843.748800	58843.742800	59339.511500	59339.508400	2	1	0.051841	60340.433500	60340.428800	60395.647000	60395.630100	CCNP001674	0
14	1	0.562578	62899.285700	62899.277900	63475.179200	63475.175500	2	2	1.268009	64476.214000	64476.209300	65747.918500	65747.915200	CCNP001674	0
15	1	0.484597	68251.301200	68251.294700	68747.311500	68747.307800	2	1	0.828187	69748.259300	69748.254900	70579.973800	70579.970500	CCNP001674	0
16	0	0.000000	73083.542400	73083.535500	0.000000	0.000000
17	2	0.748017	77086.593300	77086.587500	77843.691100	77843.687900	3	1	0.763665	78844.882300	78844.873500	79612.085000	79612.081000	CCNP001674	1
18	2	0.594542	82115.770300	82115.763500	82723.532400	82723.529400	3	1	0.522789	83724.726700	83724.720700	84251.420600	84251.416700	CCNP001674	1
19	2	0.633165	86755.205500	86755.199100	87395.705400	87395.699200	3	1	0.651209	88397.191500	88397.184300	89051.728900	89051.725900	CCNP001674	1
20	2	0.577126	91555.510000	91555.502800	92139.757800	92139.754300	2	1	0.827614	93140.756800	93140.738800	93971.729100	93971.726000	CCNP001674	1
21	2	0.340196	96475.370500	96475.364700	96819.653700	96819.650300	3	2	0.755719	97820.940800	97820.935000	98580.089300	98580.086000	CCNP001674	1
22	2	0.571746	101083.651300	101083.644700	101667.680300	101667.676800	2	2	0.667800	102668.770000	102668.751700	103340.198200	103340.194100	CCNP001674	1
23	2	0.538897	105844.052700	105844.046400	106387.498100	106387.494900	3	2	0.603356	107388.683400	107388.674700	107995.622500	107995.618700	CCNP001674	1
24	2	0.611442	110499.049800	110499.043900	111124.069500	111124.066100	3	2	0.274606	112125.122800	112125.117500	112403.588500	112403.585100	CCNP001674	0
25	2	0.490447	114907.201200	114907.195600	115403.582300	115403.577900	3	1	0.747666	116404.746100	116404.727700	117155.982500	117155.979000	CCNP001674	1
26	2	0.498179	119659.700800	119659.695300	120163.835700	120163.817500	3	1	0.587496	121164.935800	121164.931000	121756.139100	121756.135900	CCNP001674	0
27	2	0.378654	124259.736700	124259.729700	124643.539000	124643.536000	3	1	1.187692	125644.618500	125644.613200	126835.808800	126835.805500	CCNP001674	0
28	1	1.153607	129339.778800	129339.772600	130499.401400	130499.398200	2	2	0.819782	131500.550700	131500.545700	132323.916400	132323.912700	CCNP001674	0
29	1	0.371978	134827.344800	134827.339000	135203.891000	135203.887500	2	1	0.395374	136205.007400	136205.002500	136603.705000	136603.701600	CCNP001674	1
30	1	0.642397	139107.633600	139107.613000	139755.368100	139755.364400	3	1	0.467980	140756.556200	140756.551300	141228.073100	141228.069900	CCNP001674	1
31	1	0.672957	143731.893500	143731.887200	144419.403400	144419.399000	2	1	0.651669	145420.576600	145420.571700	146075.678700	146075.675500	CCNP001674	1
32	1	0.399584	148579.518200	148579.510400	148995.762100	148995.756300	3	1	0.675163	149996.867500	149996.862500	150675.968700	150675.965200	CCNP001674	1
33	1	0.551859	153179.802300	153179.794400	153747.733000	153747.729500	2	2	0.586479	154748.895700	154748.890800	155339.816000	155339.811900	CCNP001674	0
34	1	0.587188	157843.433500	157843.427500	158435.888200	158435.884900	3	1	0.515270	159437.056800	159437.051600	159955.624000	159955.620700	CCNP001674	1
35	1	0.796186	162459.370800	162459.364600	163259.695700	163259.692500	2	1	0.395489	164260.816400	164260.811300	164659.929700	164659.926300	CCNP001674	0
36	1	0.408357	167163.628300	167163.622700	167587.843900	167587.840500	2	2	0.011792	168588.932400	168588.927100	168603.976600	168603.973200	CCNP001674	1
37	1	0.546538	171107.835200	171107.829700	171659.917600	171659.913400	2	2	0.387037	172661.032100	172661.013400	173051.768100	173051.764600	CCNP001674	1
38	1	0.488070	175555.347700	175555.342100	176051.446100	176051.442500	2	2	0.571816	177052.554800	177052.549700	177627.804000	177627.800700	CCNP001674	1
39	1	0.457422	180131.861700	180131.856200	180603.473000	180603.469800	3	2	0.851549	181604.650100	181604.643400	182459.945500	182459.942200	CCNP001674	0
40	2	1.383641	184963.871400	184963.866300	186363.414300	186363.409700	3	1	0.650683	187364.612000	187364.606200	188019.365200	188019.361600	CCNP001674	1
41	2	0.409766	190523.114300	190523.107700	190939.405400	190939.401800	2	1	1.219812	191940.515100	191940.510200	193163.787000	193163.783900	CCNP001674	1
42	2	0.444305	195667.571000	195667.564800	196123.645000	196123.641800	3	1	0.531103	197124.835900	197124.815600	197659.531700	197659.528400	CCNP001674	0
43	2	0.360349	200163.567100	200163.559300	200539.603600	200539.599700	3	2	1.602811	201540.803000	201540.784600	203147.719600	203147.715200	CCNP001674	0
44	2	0.739997	205651.674400	205651.668600	206403.382900	206403.378600	3	1	0.187697	207404.701500	207404.695800	207596.111100	207596.107800	CCNP001674	1
45	2	0.562987	210099.932100	210099.925300	210675.790100	210675.786700	3	1	1.667325	211676.982700	211676.977400	213347.989400	213347.986100	CCNP001674	0
46	1	0.860820	215851.938500	215851.929900	216723.501300	216723.496900	2	1	0.474677	217724.722800	217724.718000	218203.457200	218203.453700	CCNP001674	0
47	1	0.674954	220707.449500	220707.443600	221387.822000	221387.818700	2	1	0.515404	222389.002100	222388.996900	222907.793100	222907.789700	CCNP001674	1
48	1	0.356052	225412.156500	225412.149900	225771.671000	225771.667600	3	1	0.555691	226772.827600	226772.822700	227332.120900	227332.117600	CCNP001674	0
49	1	0.485505	229836.098500	229836.093000	230331.685300	230331.681800	2	1	0.490703	231332.794500	231332.789100	231827.634700	231827.630500	CCNP001674	1
50	1	0.617618	234331.870800	234331.865800	234963.662500	234963.659000	3	1	0.563704	235964.858900	235964.840700	236532.063900	236532.060400	CCNP001674	0
51	1	0.853193	239035.999200	239035.993100	239899.330500	239899.327100	3	2	1.099330	240900.642600	240900.637400	242003.473100	242003.469900	CCNP001674	0
